"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.571,0.571,0.5,0.667,0.667,0.6,0.667,0.667,0.667,0.6,0.6,0.8,0.667,0.667,0.632,0.533,0.533,0.433
0.467,0.6,0.6,0.6,0.643,0.643,0.6,0.9,0.9,0.8,1,1,0.6,0.75,0.75,0.4,0.45,0.45
0.733,0.6,0.667,0.714,0.667,0.667,1,0.8,1,0.8,0.8,1,0.833,0.727,0.8,0.6,0.5,0.5
0.4,0.6,0.6,0.556,0.667,0.667,0.5,0.8,0.8,0.8,0.8,0.8,0.526,0.727,0.727,0.35,0.5,0.5
0.267,0.267,0.267,0.429,0.429,0.429,0.3,0.3,0.3,0.8,0.8,0.8,0.353,0.353,0.353,0.25,0.25,0.25
