"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.429,0.429,0.429,0.667,0.6,0.6,0.4,0.6,0.6,0.5,1,1,0.5,0.6,0.6,0.45,0.3,0.3
0.857,0.571,0.857,0.833,0.667,0.833,1,0.8,1,0.5,1,0.5,0.909,0.727,0.909,0.75,0.4,0.75
0.625,0.5,0.75,0.8,0.667,0.833,0.667,0.667,0.833,0.5,1,0.5,0.727,0.667,0.833,0.583,0.333,0.667
0.714,1,0.714,1,1,1,0.6,1,0.6,0,0,0,0.75,1,0.75,0.8,1,0.8
0.714,0.714,0.571,0.714,1,0.75,1,0.6,0.6,1,0,0.5,0.833,0.75,0.667,0.5,0.8,0.55
