"Accuracy","AccuracySynth","Precision","PrecisionSynth","Recall","RecallSynth","Fallout","FalloutSynth","FMeasure","FMeasureSynth","AUC","AUCSynth"
0.875,0.875,0.875,0.875,1,1,1,1,0.933333333333333,0.933333333333333,0.5,0.5
0.875,0.875,0.875,0.928571428571429,1,0.928571428571429,1,0.5,0.933333333333333,0.928571428571429,0.5,0.714285714285714
0.875,0.875,0.875,0.875,1,1,1,1,0.933333333333333,0.933333333333333,0.5,0.5
0.875,0.8125,0.875,0.866666666666667,1,0.928571428571429,1,1,0.933333333333333,0.896551724137931,0.5,0.464285714285714
0.823529411764706,0.823529411764706,0.823529411764706,0.823529411764706,1,1,1,1,0.903225806451613,0.903225806451613,0.5,0.5
