"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,0.857,0.857,0.857,0.5,0.5,0.5
0.8,0.467,0.467,0.8,0.7,0.7,1,0.583,0.583,1,1,1,0.889,0.636,0.636,0.5,0.292,0.292
0.786,0.786,0.786,0.786,0.9,0.9,1,0.818,0.818,1,0.333,0.333,0.88,0.857,0.857,0.5,0.742,0.742
0.6,0.6,0.6,0.692,0.727,0.727,0.818,0.727,0.727,1,0.75,0.75,0.75,0.727,0.727,0.409,0.489,0.489
0.786,0.786,0.786,0.786,0.786,0.786,1,1,1,1,1,1,0.88,0.88,0.88,0.5,0.5,0.5
