"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.63,0.607,0.607,0.687,0.672,0.672,0.849,0.839,0.839,0.857,0.905,0.905,0.76,0.746,0.746,0.496,0.467,0.467
0.657,0.679,0.679,0.747,0.745,0.74,0.763,0.817,0.828,0.585,0.634,0.659,0.755,0.779,0.782,0.589,0.592,0.585
0.681,0.659,0.674,0.731,0.72,0.743,0.849,0.828,0.806,0.69,0.714,0.619,0.786,0.77,0.773,0.579,0.557,0.594
0.662,0.669,0.669,0.714,0.709,0.713,0.851,0.883,0.872,0.762,0.81,0.786,0.777,0.787,0.785,0.545,0.537,0.543
