"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.6,0.467,0.4,0.625,0.5,0.444,0.625,0.5,0.5,0.429,0.571,0.714,0.625,0.5,0.471,0.598,0.464,0.393
0.533,0.467,0.533,0.5,0.429,0.5,0.429,0.429,0.429,0.375,0.5,0.375,0.462,0.429,0.462,0.527,0.464,0.527
0.6,0.533,0.533,0.667,0.538,0.538,0.5,0.875,0.875,0.286,0.857,0.857,0.571,0.667,0.667,0.607,0.509,0.509
0.4,0.4,0.4,0.4,0.429,0.429,0.25,0.375,0.375,0.429,0.571,0.571,0.308,0.4,0.4,0.411,0.402,0.402
0.533,0.6,0.6,0.667,0.667,0.667,0.25,0.5,0.5,0.143,0.286,0.286,0.364,0.571,0.571,0.554,0.607,0.607
