"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.625,0.625,0.438,0.5,0.5,0.2,0.5,0.333,0.167,0.3,0.2,0.4,0.5,0.4,0.182,0.6,0.567,0.383
0.222,0.278,0.167,0.267,0.125,0,0.571,0.143,0,1,0.636,0.727,0.364,0.133,NA,0.286,0.253,0.136
0.529,0.471,0.353,0.25,0.286,0.143,0.167,0.333,0.167,0.273,0.455,0.545,0.2,0.308,0.154,0.447,0.439,0.311
0.471,0.412,0.353,0.25,0.333,0.167,0.143,0.429,0.143,0.3,0.6,0.5,0.182,0.375,0.154,0.421,0.414,0.321
0.556,0.389,0.444,0.4,0.167,0.286,0.286,0.143,0.286,0.273,0.455,0.455,0.333,0.154,0.286,0.506,0.344,0.416
