"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.615,0.538,0.538,0.4,0.375,0.375,0.5,0.75,0.75,0.333,0.556,0.556,0.444,0.5,0.5,0.583,0.597,0.597
0.769,0.692,0.692,0.667,0.5,0.5,0.5,0.5,0.75,0.111,0.222,0.333,0.571,0.5,0.6,0.694,0.639,0.708
0.643,0.643,0.714,0.5,NA,1,0.2,0,0.2,0.111,0,0,0.286,NA,0.333,0.544,0.5,0.6
0.714,0.571,0.571,0.6,0.333,0.4,0.6,0.2,0.4,0.222,0.222,0.333,0.6,0.25,0.4,0.689,0.489,0.533
0.333,0.4,0.467,0,0,0,0,0,0,0.5,0.4,0.3,NA,NA,NA,0.25,0.3,0.35
