"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.864,0.864,0.864,0.85,0.889,0.889,1,0.941,0.941,0.6,0.4,0.4,0.919,0.914,0.914,0.7,0.771,0.771
0.909,0.909,0.818,0.895,0.941,0.842,1,0.941,0.941,0.4,0.2,0.6,0.944,0.941,0.889,0.8,0.871,0.671
0.773,0.727,0.773,0.762,0.727,0.762,1,1,1,0.833,1,0.833,0.865,0.842,0.865,0.583,0.5,0.583
0.591,0.591,0.591,0.75,0.786,0.786,0.706,0.647,0.647,0.8,0.6,0.6,0.727,0.71,0.71,0.453,0.524,0.524
0.609,0.609,0.609,0.7,0.722,0.722,0.824,0.765,0.765,1,0.833,0.833,0.757,0.743,0.743,0.412,0.466,0.466
