"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1,0.889,0.889,0.889,0.5,0.5,0.5
0.857,0.857,0.857,0.857,0.857,0.857,1,1,1,1,1,1,0.923,0.923,0.923,0.5,0.5,0.5
0.812,0.812,0.812,0.812,0.812,0.812,1,1,1,1,1,1,0.897,0.897,0.897,0.5,0.5,0.5
0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1,0.889,0.889,0.889,0.5,0.5,0.5
0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1,0.889,0.889,0.889,0.5,0.5,0.5
