"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.739,0.739,0.739,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
0.727,0.727,0.727,0.333,0.333,0.333,0.2,0.2,0.2,0.118,0.118,0.118,0.25,0.25,0.25,0.541,0.541,0.541
0.727,0.682,0.636,0.333,0.25,0.2,0.2,0.2,0.2,0.118,0.176,0.235,0.25,0.222,0.2,0.541,0.512,0.482
0.783,0.739,0.783,0.667,0.5,0.667,0.333,0.167,0.333,0.059,0.059,0.059,0.444,0.25,0.444,0.637,0.554,0.637
0.619,0.667,0.667,0.2,0.25,0.25,0.2,0.2,0.2,0.25,0.188,0.188,0.2,0.222,0.222,0.475,0.506,0.506
