"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.625,0.562,0.625,0.625,0.571,0.625,0.625,0.5,0.625,0.375,0.375,0.375,0.625,0.533,0.625,0.625,0.562,0.625
0.467,0.467,0.467,0.5,0.5,0.5,0.5,0.625,0.625,0.571,0.714,0.714,0.5,0.556,0.556,0.464,0.455,0.455
0.533,0.533,0.533,0.556,0.556,0.556,0.625,0.625,0.625,0.571,0.571,0.571,0.588,0.588,0.588,0.527,0.527,0.527
0.733,0.6,0.6,0.833,0.75,0.75,0.625,0.375,0.375,0.143,0.143,0.143,0.714,0.5,0.5,0.741,0.616,0.616
0.5,0.5,0.5,0.5,0.5,0.5,0.286,0.286,0.286,0.286,0.286,0.286,0.364,0.364,0.364,0.5,0.5,0.5
